id,url,region,price,type
7050902864,https://southcoast.craigslist.org/apa/d/plymouth-house-for-rent/7050902864.html,south coast,2350,house
7050743295,https://boston.craigslist.org/nos/apa/d/chelsea-stay-short-term-or-long-term/7050743295.html,boston,1895,apartment
7050743011,https://boston.craigslist.org/sob/apa/d/quincy-mint-apartment-heat-and-hot/7050743011.html,boston,1650,apartment
7050738566,https://boston.craigslist.org/sob/apa/d/norwell-large-room-private-bath/7050738566.html,boston,1250,apartment
7044097711,https://southcoast.craigslist.org/apa/d/1st-floor-3-bedroom-apartment/7044097711.html,south coast,1500,apartment
7050828519,https://boston.craigslist.org/nos/apa/d/topsfield-renovated-loft-style-1/7050828519.html,boston,1795,apartment
7050781757,https://boston.craigslist.org/nos/apa/d/lynn-br-ft-2-floors-large-3-bedroom-lynn/7050781757.html,boston,2350,apartment
7050750447,https://boston.craigslist.org/nos/apa/d/chelsea-available-now-free-washer-dryer/7050750447.html,boston,1895,apartment
7048297078,https://westernmass.craigslist.org/apa/d/chicopee-one-bedroom-apartment-for-rent/7048297078.html,western massachusetts,865,apartment
7049997022,https://southcoast.craigslist.org/apa/d/fall-river-3-beds-unit-1-no-pets-good/7049997022.html,south coast,950,apartment
7049349989,https://southcoast.craigslist.org/apa/d/new-bedford-renovated-1-br-1-bath/7049349989.html,south coast,675,apartment
7038761087,https://westernmass.craigslist.org/apa/d/gorgeous-first-fl-off-st-pking-util/7038761087.html,western massachusetts,975,apartment
7034300884,https://westernmass.craigslist.org/apa/d/allston-packards-corner-no-fee-htd/7034300884.html,western massachusetts,1450,apartment
7034300596,https://westernmass.craigslist.org/apa/d/allston-packards-corner-no-fee-htd/7034300596.html,western massachusetts,1450,apartment
7050699226,https://boston.craigslist.org/gbs/apa/d/boston-downtown-1-bedroom-orange-red/7050699226.html,boston,3340,apartment
7050698416,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-1-bed-orange-line-2-min/7050698416.html,boston,2561,apartment
7050438435,https://boston.craigslist.org/gbs/apa/d/brockton-ft2-1br-hot-water-heat-included/7050438435.html,boston,1300,apartment
7050213821,https://boston.craigslist.org/nos/apa/d/revere-1bedrm-single-house/7050213821.html,boston,1400,apartment
7050691084,https://boston.craigslist.org/nos/apa/d/lynn-spacious-nice-single-family-house/7050691084.html,boston,2300,house
7048125477,https://westernmass.craigslist.org/apa/d/northampton-sunny-1br-apt-in-historic/7048125477.html,western massachusetts,1350,apartment
7048123775,https://westernmass.craigslist.org/apa/d/holyoke-studio-with-heat-and-hot-water/7048123775.html,western massachusetts,625,apartment
7031459829,https://westernmass.craigslist.org/apa/d/pittsfield-walk-to-schools-shops-wide/7031459829.html,western massachusetts,640,house
7043829043,https://westernmass.craigslist.org/apa/d/westfield-westfield-2-bedroom-1-bath/7043829043.html,western massachusetts,950,apartment
7050568437,https://boston.craigslist.org/nwb/apa/d/tewksbury-studio-cozy-apartment-mth/7050568437.html,boston,1100,apartment
